图书名,价格,出版年,国家,作者,出版社,评分,评论数,主题评论
檀香刑,56.0,2017,中国,莫言,浙江文艺出版社,9.3,31280,无
德米安 : 埃米尔·辛克莱的彷徨少年时 Demian: die geschichte von emil sinclairs jugend,25.0,2009,德, 赫尔曼·黑塞,上海人民出版社,8.9,38060,少年辛克莱寻找通向自身之路的艰辛历程
安娜·卡列尼娜 Anna karenina,37.0,2007,俄, 列夫·托尔斯泰,上海文艺出版社,9.2,29738,无
一个陌生女人的来信 Brief einer Unbekannten,20.0,2007,奥, 斯蒂芬·茨威格,上海译文出版社,8.7,146825,暗恋的极致
万水千山走遍,13.8,2003,中国,三毛,哈尔滨出版社,8.9,46239,从遥远的撒哈拉到敦煌戈壁
苏菲的世界 Sofies verden,26.0,2007,挪, 乔斯坦·贾德,作家出版社,8.8,58802,哲学启蒙书
全球通史(上) : 从史前史到21世纪,42.0,2006,美,斯塔夫里阿诺斯,北京大学出版社,9.2,19041,无
翦商 : 殷周之变与华夏新生,99.0,2022,中国,李硕,广西师范大学出版社,9.0,27840,无
史蒂夫·乔布斯传 Steve Jobs: A Biography,68.0,2011,美, 沃尔特·艾萨克森,中信出版社,8.8,61209,完美主义者的最高形态
不能承受的生命之轻 : 中文全译本百万纪念版,29.0,2010,中国,米兰·昆德拉,上海译文出版社,8.8,47252,无
温柔的夜,28.0,2007,中国,三毛,北京十月文艺出版社,9.1,23750,三毛在加纳利群岛的生活
球状闪电,22.0,2005,中国,刘慈欣,四川科学技术出版社,8.7,88653,量子之外，没有真相
爱的艺术,15.0,2008,美, 艾·弗洛姆,上海译文出版社,8.8,49850,谦恭地、勇敢地、真诚地和有纪律地爱他人
草房子,18.0,2009,中国,曹文轩,江苏少年儿童出版社,9.0,53590,男孩桑桑刻骨铭心、终身难忘的六年小学生活
我不知道该说什么，关于死亡还是爱情 : 来自切尔诺贝利的声音 Voices from Chernobyl,34.8,2014,白俄, S·A·阿列克谢耶维奇,花城出版社,9.1,20243,真实记录切尔诺贝利核灾难事件
亮剑,28.0,2005,中国,都梁,解放军文艺出版社,9.0,31156,面对强大的对手，明知不敌，也要毅然亮剑
半生缘 : 张爱玲全集04——小说,29.6,2012,中国,张爱玲,北京十月文艺出版社,9.1,31843,无
霸王别姬,10.2,1999,中国,李碧华,人民文学出版社,9.1,22524,人间，只是抹去了脂粉的脸
恶意 悪意,39.5,2016,日, 东野圭吾,南海出版公司,8.7,130112,无
古文观止,21.0,1987,中国,吴楚材,中华书局,9.1,19175,收录自先秦至明末的散文二百二十二篇
我的阿勒泰 My Altay,22.0,2010,中国,李娟,云南人民出版社,8.9,28748,描写疆北阿勒泰地区生活和风情的原生态散文集
冰与火之歌 : （1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂 A Song of Ice and Fire,330.0,2013,美,乔治·R.R.马丁,重庆出版社,9.5,18818,乔治·R·R·马丁史诗奇幻小说
生死疲劳,69.9,2022,中国,莫言,浙江文艺出版社,9.1,39945,无
我也有一个梦想 : 近距离看美国之三,25.0,2004,中国,林达,生活·读书·新知三联书店,9.0,16095,在法治国家里，民众怎样运用法律
麦琪的礼物 : 欧·亨利短篇小说经典,25.0,2003,美, 欧·亨利,上海社会科学院出版社,8.7,75956,日常的奇迹
倾城之恋 : 张爱玲全集01——小说,29.8,2012,中国,张爱玲,北京十月文艺出版社,8.9,40154,无
激荡三十年（上） : 中国企业1978-2008,35.0,2007,中国,吴晓波,中信出版社 浙江人民出版社,8.8,32172,这是一个最好的时代，也是一个最坏的时代
社会心理学 : （第8版）,68.0,2006,美, 戴维·迈尔斯,人民邮电出版社,9.0,27129,人们是如何思索、影响他人并与他人建立联系的
天朝的崩溃 : 鸦片战争再研究,32.0,2005,中国,茅海建,生活·读书·新知三联书店,9.2,15196,鸦片战争再研究
海风中失落的血色馈赠 The Lost Salt Gift of Blood,20.0,2015,加拿大, 阿利斯泰尔·麦克劳德,上海文艺出版社,9.0,20829,男女之间、父母与子女之间紧密的纽带和难以逾越的鸿沟
亲密关系 Intimate Relationship,138.0,2015,美,罗兰·米勒 (Rowland S. Miller),人民邮电出版社,9.3,26228,无
天生有罪 : 特雷弗·诺亚的变色人生 Born a Crime: Stories from a South African Childhood,58.0,2018,南非, 特雷弗·诺亚,北京联合出版公司,9.0,20677,无
雕刻时光 ЗАПЕЧАТЛЕННОЕ ВРЕМЯ,45.0,2016,苏, 安德烈·塔可夫斯基,南海出版公司,9.5,9270,无
一桩事先张扬的凶杀案 Crónica de una muerte anunciada,25.0,2013,哥伦比亚, 加西亚·马尔克斯,南海出版公司,8.7,52059,我如此急切地想要讲述这桩案件，也许是它最终确定了我的作家生涯
东晋门阀政治,49.0,2012,中国,田余庆,北京大学出版社,9.5,13174,无
情书 ラヴレター,18.0,2004,日, 岩井俊二,天津人民出版社,8.6,107479,一场同名同姓的误会，两段可贵的爱情
从零开始的女性主义 上野先生、フェミニズムについてゼロから教えてください！,52.0,2021,日本, 上野千鹤子,北京联合出版公司,8.7,67719,无
万物有灵且美 All Things Bright and Beautiful,28.8,2010,英, 吉米·哈利,中国城市出版社,8.9,23235,活泼的生命完全无须借助魔法，便能对我们述说至美至真的故事
李光耀观天下 李光耀观天下,58.0,2015,中国,李光耀,北京大学出版社,9.2,13690,无
罗生门 羅生門,12.0,2008,日, 芥川龙之介,上海译文出版社,8.7,70724,人生，远比地狱更像地狱
浮生六记,38,1999,清,沈复,人民文学出版社,8.7,71035,苟不记之笔墨，未免有辜彼苍之厚
荒原狼,13.0,2008,德,赫尔曼·黑塞,上海译文出版社,9.0,23517,“超现实主义”风格作品，德国的《尤利西斯》
尼罗河上的惨案 Death on the Nile,22.0,2006,英, 阿加莎·克里斯蒂,人民文学出版社,8.7,50086,阿加莎·克里斯蒂代表作
父权制与资本主义 家父长制と资本制 ― マルクス主义フェミニズムの地平,58.0,2020,日, 上野千鹤子,浙江大学出版社,9.2,17978,无
送你一颗子弹,25.0,2010,中国,刘瑜,上海三联书店,8.6,143787,在这本书里，被“审视”的东西杂七杂八
当呼吸化为空气 When Breath Becomes Air,48.0,2016,美, 保罗·卡拉尼什,浙江文艺出版社,8.9,29418,你在死亡中探究生命的意义，你见证生前的呼吸化作死后的空气
在细雨中呼喊,25.0,2012,中国,余华,作家出版社,8.8,73003,无
倚天屠龙记,47.0,1999,中国,金庸,生活·读书·新知三联书店,8.7,62213,不识张郎是张郎
雷雨,9.2,1999,中国,曹禺,人民文学出版社,8.7,79448,一幕人生大悲剧，在一个雷雨夜爆发
一千零一夜 The Arabian Nights: Tales of 1001 Nights,22.0,2003,中国,纳训,人民文学出版社,8.8,59366,阿拉伯地区的古代民间传说
理想国 Πολιτεία,28.0,1986,古希腊, 柏拉图,商务印书馆,8.8,37400,人类历史上最早的乌托邦
九州·缥缈录,20.0,2005,中国,江南,新世界出版社,8.8,31850,乱世的英雄史诗
水浒传（全二册）,50.6,1997,明, 施耐庵,人民文学出版社,8.7,78319,替天行道
孩子你慢慢来,28.0,2009,中国,龙应台,生活·读书·新知三联书店,8.7,79907,我们现在怎样做母亲
银河系漫游指南 The Hitchhiker's Guide to the Galaxy,16.0,2005,英, 道格拉斯·亚当斯,四川科学技术出版社,8.8,22548,一场穿越银河的冒险
孙子兵法,20.0,2006,中国,孙武,上海古籍出版社,9.4,13678,我国最古老最杰出的一部兵书
雨季不再来,28.0,2007,中国,三毛,北京十月文艺出版社,8.7,55469,三毛少女时代的成长感受
银河帝国：基地七部曲 : 百万册纪念版,328.0,2015,美, 艾萨克·阿西莫夫,江苏凤凰文艺出版社,9.5,15963,阿西莫夫经典科幻小说
现代艺术150年 : 一个未完成的故事 What Are You Looking At?: 150 Years of Modern Art in the Blink of an Eye,65.0,2017,英, 威尔·贡培兹,广西师范大学出版社,9.1,14856,无
渴望生活 : 梵高传 Lust for Life,29.8,2008,美, 欧文·斯通,北京十月文艺出版社,9.1,11849,梵高悲惨而成就辉煌的人生
庄子,20.0,2007,中国,孙通海 译注,中华书局,9.4,12029,野马也，尘埃也，生物之以息相吹也
最好的我们 流水混账,55,2013,中国,八月长安,湖南文艺出版社,8.7,72764,耿耿余淮
